Categoria;Certificação / Curso;Link;Descrição;Custo
Cloud;Google Cloud Skills Boost - Badges;https://www.cloudskillsboost.google/;Badge oficial do Google Cloud. Valida conhecimentos específicos em serviços como BigQuery, IAM e Pub/Sub. Ideal para LinkedIn.;Grátis (30 dias)
Cloud;AWS Academy Learner Lab;https://aws.amazon.com/training/awsacademy/;Laboratórios práticos da AWS para aprender infraestrutura em nuvem. Excelente para iniciar no ecossistema AWS.;Grátis (via instituição parceira)
Cloud;Microsoft Azure Fundamentals;https://learn.microsoft.com/en-us/training/azure/;Curso fundamental em Azure com opção de voucher gratuito para certificação. Muito valorizado em empresas globais.;Grátis
Data & ML;TensorFlow Developer Certificate Prep;https://www.coursera.org/professional-certificates/tensorflow-in-practice;Curso preparatório para certificação TensorFlow Developer. Foco em machine learning e deep learning aplicado.;Grátis (audit)
Data & ML;Data Engineering on GCP (Skill Badge);https://www.cloudskillsboost.google/;Badge do Google Cloud focado em engenharia de dados, incluindo ETL, BigQuery e pipelines.;Grátis (30 dias)
Data & ML;Databricks Lakehouse Fundamentals;https://academy.databricks.com/;Certificação gratuita em Databricks, plataforma usada globalmente para engenharia de dados e análise.;Grátis
Data & ML;IBM Data Science Certificate;https://www.coursera.org/professional-certificates/ibm-data-science;Certificação internacional em ciência de dados cobrindo Python, SQL e machine learning.;Grátis (audit)
Soft Skills;Google Digital Garage – Project Management;https://learndigital.withgoogle.com/digitalgarage;Curso em inglês gratuito sobre gestão de projetos e habilidades profissionais.;Grátis
Soft Skills;EF SET English Test;https://www.efset.org/;Teste gratuito de inglês com certificado oficial, ideal para LinkedIn e portfólio internacional.;Grátis
Soft Skills;LinkedIn Learning - Soft Skills;https://www.linkedin.com/learning/;Treinamentos em liderança, comunicação e produtividade. Primeiro mês gratuito.;1º mês grátis
